player_id,uniform_number,name,team,position,birth_day,height,weight,school,player_id,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율+장타율,득점권타율,대타타율
67207,13.0,이유찬,두산,내야수,1998-08-05,175.0,68.0,동막초-천안북중-북일고-두산-상무,67207,0.242,89,311,269,36,65,8,1,1,78,16,12,2,6,1,33,0,2,66,4,0.29,0.328,8,85.7,11,0.618,0.194,0.0
67449,39.0,김성윤,삼성,외야수,1999-02-02,163.0,62.0,창신초(부산진구리틀)-원동중-포항제철고,67449,0.331,127,538,456,92,151,29,9,6,216,61,26,7,10,2,65,0,5,54,11,0.474,0.419,2,78.8,45,0.893,0.402,0.4
67504,16.0,김민수,LG,내야수,1998-03-18,184.0,97.0,서화초-동산중-제물포고-롯데-경찰-롯데,67504,0.182,13,13,11,0,2,0,0,0,2,1,1,0,0,1,1,0,0,6,0,0.182,0.231,0,100.0,0,0.413,0.0,0.0
67609,15.0,박정우,KIA,외야수,1998-02-01,175.0,68.0,역삼초-언북중-덕수고,67609,0.274,53,75,62,17,17,2,0,0,19,4,2,1,0,0,10,0,3,12,1,0.306,0.4,0,66.7,2,0.706,0.267,0.0
67610,35.0,김석환,KIA,외야수,1999-02-28,187.0,97.0,광주서석초-광주동성중-광주동성고,67610,0.265,47,134,117,14,31,1,2,2,42,16,0,0,0,1,14,0,2,55,0,0.359,0.351,0,0.0,7,0.71,0.345,0.625
67644,33.0,이정훈,KT,외야수,1994-12-07,185.0,90.0,교문초-배재중-휘문고-경희대-KIA-상무-KIA-롯데,67644,0.258,59,148,132,20,34,4,0,4,50,14,0,1,0,0,13,0,3,48,4,0.379,0.338,1,0.0,6,0.717,0.258,0.286
67807,31.0,이정범,SSG,외야수,1998-04-10,178.0,88.0,인천숭의초-동인천중-인천고,67807,0.0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
67893,2.0,박성한,SSG,내야수,1998-03-30,180.0,77.0,순천북초-여수중-효천고-SK-상무-SK,67893,0.274,127,538,452,73,124,23,2,7,172,48,5,6,2,2,79,1,3,93,6,0.381,0.384,20,45.5,31,0.765,0.275,0.5
67900,4.0,김수윤,SSG,내야수,1998-07-16,180.0,83.0,김해삼성초-개성중-부산고-NC,67900,0.091,7,12,11,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0.091,0.167,2,0.0,0,0.258,0.0,0.0
67905,23.0,천재환,NC,외야수,1994-04-01,181.0,83.0,대전신흥초-공주중-화순고-고려대,67905,0.238,129,294,261,47,62,10,3,6,96,31,15,5,6,5,17,0,5,58,3,0.368,0.292,2,75.0,12,0.66,0.242,0.2
68050,50.0,강백호,KT,포수,1999-07-29,184.0,98.0,부천북초-서울이수중-서울고,68050,0.265,95,369,321,41,85,18,1,15,150,61,2,4,0,1,44,3,3,64,9,0.467,0.358,1,33.3,21,0.825,0.3,0.5
68089,42.0,조대현,KT,포수,1999-08-06,183.0,81.0,길동초-매송중-유신고,68089,0.187,64,90,75,7,14,4,0,0,18,11,0,0,6,0,7,0,2,22,0,0.24,0.274,7,0.0,1,0.514,0.348,0.5
